,_id,img_file
0,1881,mappa_percorso_1881.png
1,1880,mappa_percorso_1880.png
2,3425,mappa_percorso_3425.png
3,3211,mappa_percorso_3211.png
4,3429,mappa_percorso_3429.png
5,3455,mappa_percorso_3455.png
6,3212,mappa_percorso_3212.png
7,3426,mappa_percorso_3426.png
8,3838,mappa_percorso_3838.png
9,3462,mappa_percorso_3462.png
10,3569,mappa_percorso_3569.png
11,3424,mappa_percorso_3424.png
12,3156,mappa_percorso_3156.png
13,3571,mappa_percorso_3571.png
14,3325,mappa_percorso_3325.png
15,3576,mappa_percorso_3576.png
16,3410,mappa_percorso_3410.png
17,3456,mappa_percorso_3456.png
18,3369,mappa_percorso_3369.png
19,3567,mappa_percorso_3567.png
20,3597,mappa_percorso_3597.png
21,3241,mappa_percorso_3241.png
22,3202,mappa_percorso_3202.png
23,3427,mappa_percorso_3427.png
24,3192,mappa_percorso_3192.png
25,3343,mappa_percorso_3343.png
26,3367,mappa_percorso_3367.png
27,3545,mappa_percorso_3545.png
28,3457,mappa_percorso_3457.png
29,3463,mappa_percorso_3463.png
30,3461,mappa_percorso_3461.png
31,43,mappa_percorso_43.png
32,6012,mappa_percorso_6012.png
33,6013,mappa_percorso_6013.png
34,926,mappa_percorso_926.png
35,1723,mappa_percorso_1723.png
36,236,mappa_percorso_236.png
37,2261,mappa_percorso_2261.png
38,1617,mappa_percorso_1617.png
39,2907,mappa_percorso_2907.png
40,5331,mappa_percorso_5331.png
41,5443,mappa_percorso_5443.png
42,142,mappa_percorso_142.png
43,4148,mappa_percorso_4148.png
44,3698,mappa_percorso_3698.png
45,6165,mappa_percorso_6165.png
46,1907,mappa_percorso_1907.png
47,1908,mappa_percorso_1908.png
48,3593,mappa_percorso_3593.png
49,5973,mappa_percorso_5973.png
50,4389,mappa_percorso_4389.png
51,4386,mappa_percorso_4386.png
52,4458,mappa_percorso_4458.png
53,1414,mappa_percorso_1414.png
54,5018,mappa_percorso_5018.png
55,2250,mappa_percorso_2250.png
56,6036,mappa_percorso_6036.png
57,6037,mappa_percorso_6037.png
58,1294,mappa_percorso_1294.png
59,772,mappa_percorso_772.png
60,1362,mappa_percorso_1362.png
61,655,mappa_percorso_655.png
62,2623,mappa_percorso_2623.png
63,2760,mappa_percorso_2760.png
64,496,mappa_percorso_496.png
65,2835,mappa_percorso_2835.png
66,2613,mappa_percorso_2613.png
67,1349,mappa_percorso_1349.png
68,2658,mappa_percorso_2658.png
69,2241,mappa_percorso_2241.png
70,1260,mappa_percorso_1260.png
71,2657,mappa_percorso_2657.png
72,5884,mappa_percorso_5884.png
73,497,mappa_percorso_497.png
74,495,mappa_percorso_495.png
75,774,mappa_percorso_774.png
76,4025,mappa_percorso_4025.png
77,794,mappa_percorso_794.png
78,771,mappa_percorso_771.png
79,773,mappa_percorso_773.png
80,2639,mappa_percorso_2639.png
81,3786,mappa_percorso_3786.png
82,3639,mappa_percorso_3639.png
83,6038,mappa_percorso_6038.png
84,1749,mappa_percorso_1749.png
85,2051,mappa_percorso_2051.png
86,2317,mappa_percorso_2317.png
87,2253,mappa_percorso_2253.png
88,391,mappa_percorso_391.png
89,255,mappa_percorso_255.png
90,4524,mappa_percorso_4524.png
91,6034,mappa_percorso_6034.png
92,6159,mappa_percorso_6159.png
93,3551,mappa_percorso_3551.png
94,3845,mappa_percorso_3845.png
95,3380,mappa_percorso_3380.png
96,5496,mappa_percorso_5496.png
97,2447,mappa_percorso_2447.png
98,2448,mappa_percorso_2448.png
99,2287,mappa_percorso_2287.png
100,510,mappa_percorso_510.png
101,2952,mappa_percorso_2952.png
102,987,mappa_percorso_987.png
103,1728,mappa_percorso_1728.png
104,826,mappa_percorso_826.png
105,202,mappa_percorso_202.png
